code,Name,grdp
1,Ha Noi,128.33
26,Vinh Phuc,114.38
27,Bac Ninh,157.65
22,Quang Ninh,170.19
30,Hai Duong,77.3
31,Hai Phong,151.13
33,Hung Yen,88.04
34,Thai Binh,51.6
35,Ha Nam,75.96
36,Nam Dinh,44.55
37,Ninh Binh,70.73
2,Ha Giang,30.76
4,Cao Bang,35.85
6,Bac Kan,42.46
8,Tuyen Quang,45.23
10,Lao Cai,74.45
15,Yen Bai,42.58
19,Thai Nguyen,99.96
20,Lang Son,47.17
24,Bac Giang,70.35
25,Phu Tho,54
11,Dien Bien,35.3
12,Lai Chau,44.66
14,Son La,44.25
17,Hoa Binh,59.15
38,Thanh Hoa,57.6
40,Nghe An,46.21
42,Ha Tinh,68.9
44,Quang Binh,49.29
45,Quang Tri,57.9
46,Thua Thien Hue,50.83
48,Da Nang,90.41
49,Quang Nam,69.77
51,Quang Ngai,81.51
52,Binh Dinh,63.66
54,Phu Yen,51.53
56,Khanh Hoa,63.51
58,Ninh Thuan,69.69
60,Binh Thuan,73.44
62,Kon Tum,47.72
64,Gia Lai,48.2
66,Dak Lak,50.96
67,Dak Nong,53.23
68,Lam Dong,67.04
70,Binh Phuoc,76.12
72,Tay Ninh,76.58
74,Binh Duong,157.4
75,Dong Nai,119.1
77,Ba Ria - Vung Tau,297.64
79,Ho Chi Minh,145.99
80,Long An,79.85
82,Tien Giang,55.81
83,Ben Tre,44.62
84,Tra Vinh,63.09
86,Vinh Long,57.5
87,Dong Thap,54.37
89,An Giang,47.71
91,Kien Giang,59.03
92,Can Tho,73.93
93,Hau Giang,54.4
94,Soc Trang,48.05
95,Bac Lieu,51.44
96,Ca Mau,51.81
