code,Name,Total,Hospital,Local clinic,Rehabilitation and nursing hospital,"Health station at commune, ward, office, enterprise"
1,Ha Noi,677,39,1,55,577
26,Vinh Phuc,162,14,1,8,139
27,Bac Ninh,158,13,1,..,143
22,Quang Ninh,219,21,1,10,186
30,Hai Duong,292,20,1,5,265
31,Hai Phong,251,24,1,2,224
33,Hung Yen,179,17,..,..,162
34,Thai Binh,307,19,1,..,286
35,Ha Nam,128,11,..,..,116
36,Nam Dinh,258,20,1,4,233
37,Ninh Binh,170,13,1,11,145
2,Ha Giang,212,15,1,19,177
4,Cao Bang,230,16,..,15,199
6,Bac Kan,133,9,..,2,122
8,Tuyen Quang,178,13,2,11,152
10,Lao Cai,213,12,1,36,164
15,Yen Bai,214,15,..,19,180
19,Thai Nguyen,200,17,1,..,181
20,Lang Son,265,13,1,25,226
24,Bac Giang,249,15,1,3,230
25,Phu Tho,294,17,..,..,277
11,Dien Bien,162,14,..,17,130
12,Lai Chau,134,11,..,15,108
14,Son La,234,16,1,12,204
17,Hoa Binh,245,14,..,23,208
38,Thanh Hoa,684,35,1,12,635
40,Nghe An,514,30,1,1,482
42,Ha Tinh,282,18,1,1,262
44,Quang Binh,174,8,..,7,159
45,Quang Tri,156,12,1,5,138
46,Thua Thien Hue,177,17,1,6,152
48,Da Nang,72,14,1,..,56
49,Quang Nam,284,26,..,13,244
51,Quang Ngai,205,19,..,4,182
52,Binh Dinh,183,18,1,5,159
54,Phu Yen,127,13,1,..,112
56,Khanh Hoa,164,12,..,14,137
58,Ninh Thuan,81,7,1,7,65
60,Binh Thuan,141,13,..,10,117
62,Kon Tum,127,10,1,14,102
64,Gia Lai,259,23,..,14,222
66,Dak Lak,204,20,..,..,184
67,Dak Nong,80,9,..,..,71
68,Lam Dong,189,18,1,22,147
70,Binh Phuoc,130,13,..,4,113
72,Tay Ninh,110,12,1,2,95
74,Binh Duong,123,11,1,18,91
75,Dong Nai,196,16,..,8,171
77,Ba Ria - Vung Tau,100,12,..,6,82
79,Ho Chi Minh,377,52,1,3,319
80,Long An,214,18,..,4,192
82,Tien Giang,207,11,..,23,173
83,Ben Tre,185,12,..,9,164
84,Tra Vinh,121,12,..,15,94
86,Vinh Long,124,13,..,2,109
87,Dong Thap,170,15,1,10,144
89,An Giang,183,16,..,11,156
91,Kien Giang,156,13,..,14,129
92,Can Tho,103,17,..,..,85
93,Hau Giang,87,11,..,7,69
94,Soc Trang,122,13,..,..,109
95,Bac Lieu,74,7,..,2,64
96,Ca Mau,120,11,1,7,101
