"Dien tich, dan so va mat do dan so phan theo dia phuong chia theo Dia phuong, Nam va Chi tieu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ð?a phuong,2011 Di?n tích(Km2),2011 Dân s? trung bình (Nghìn ngu?i),2011 M?t ?? dân s? (Ngu?i/km2),2012 Di?n tích(Km2),2012 Dân s? trung bình (Nghìn ngu?i),2012 M?t ?? dân s? (Ngu?i/km2),2013 Di?n tích(Km2),2013 Dân s? trung bình (Nghìn ngu?i),2013 M?t ?? dân s? (Ngu?i/km2),2014 Di?n tích(Km2),2014 Dân s? trung bình (Nghìn ngu?i),2014 M?t ?? dân s? (Ngu?i/km2),2015 Di?n tích(Km2),2015 Dân s? trung bình (Nghìn ngu?i),2015 M?t ?? dân s? (Ngu?i/km2),2016 Di?n tích(Km2),2016 Dân s? trung bình (Nghìn ngu?i),2016 M?t ?? dân s? (Ngu?i/km2),2017 Di?n tích(Km2),2017 Dân s? trung bình (Nghìn ngu?i),2017 M?t ?? dân s? (Ngu?i/km2),2018 Di?n tích(Km2),2018 Dân s? trung bình (Nghìn ngu?i),2018 M?t ?? dân s? (Ngu?i/km2),2019 (*) Di?n tích(Km2),2019 (*) Dân s? trung bình (Nghìn ngu?i),2019 (*) M?t ?? dân s? (Ngu?i/km2),2020 (*) Di?n tích(Km2),2020 (*) Dân s? trung bình (Nghìn ngu?i),2020 (*) M?t ?? dân s? (Ngu?i/km2),2021 (*) Di?n tích(Km2),2021 (*) Dân s? trung bình (Nghìn ngu?i),2021 (*) M?t ?? dân s? (Ngu?i/km2),2022 (*) Di?n tích(Km2),2022 (*) Dân s? trung bình (Nghìn ngu?i),2022 (*) M?t ?? dân s? (Ngu?i/km2)
C? NU?C,330957.6,88145.83,266.34,330951.1,89202.89,269.53,330972.4,90191.42,272.5,330966.9,91203.76,275.57,330966.9,92228.6,278.66,331230.8,93250.7,281.53,331230.8,94286,284.65,331235.7,95385.2,287.97,331236,96484,291,331317.1,97582.69,295,331344.27,98506.19,297,331345.7,99474.42,300
Ð?ng b?ng sông H?ng,21068.1,20216.81,959.59,21050.9,20525.36,975.03,21059.3,20785.63,987,21060,21080.59,1000.98,21060,21368.4,1014.64,21260.3,21669.2,1019.23,21259.6,21968.6,1033.35,21260,22290.7,1048.48,21260.8,22620.2,1064,21254.6,22920.18,1078,21278.46,23224.84,1091,21278.63,23454.2,1102
Hà N?i,3328.9,6825.82,2050.47,3323.6,6991.43,2103.57,3324.3,7128.39,2144.33,3324.5,7285.53,2191.47,3324.5,7433.6,2236.01,3358.9,7590.8,2259.91,3358.6,7742.2,2305.19,3358.6,7914.5,2356.49,3358.6,8093.9,2410,3359.84,8246.54,2454,3359.82,8330.83,2480,3359.84,8435.65,2511
Vinh Phúc,1236.5,1029.5,832.59,1236.5,1047.39,847.06,1238.6,1061.5,857.02,1237.5,1076.82,870.16,1237.5,1090.4,881.13,1235.3,1106.1,895.41,1235.2,1123.1,909.25,1235.2,1138.4,921.63,1235.9,1154.8,934,1236,1171.2,948,1236,1191.78,964,1236,1197.62,969
B?c Ninh,822.7,1072.38,1303.49,822.7,1104.69,1342.76,822.7,1139.89,1385.54,822.7,1177.06,1430.73,822.7,1218.5,1481.1,822.8,1257.9,1528.8,822.7,1297.8,1577.49,822.7,1337.3,1625.5,822.7,1378.6,1676,822.71,1419.13,1725,822.71,1462.95,1778,822.71,1488.2,1809
Qu?ng Ninh,6102.4,1181.53,193.62,6102.3,1198.39,196.38,6102.4,1209.58,198.21,6102.3,1227.67,201.18,6102.3,1241.6,203.46,6177.7,1261.2,204.15,6177.8,1285.2,208.04,6178.2,1303.9,211.05,6178.2,1324.8,214,6206.9,1337.61,216,6207.79,1350.85,218,6207.93,1362.88,220
H?i Duong,1656,1747.83,1055.45,1656,1767.83,1067.53,1656,1779.67,1074.68,1656,1795.79,1084.41,1656,1812.8,1094.69,1668.3,1832.8,1098.6,1668.2,1850.6,1109.34,1668.2,1877.7,1125.58,1668.2,1896.9,1137,1668.39,1916.77,1149,1668.28,1936.78,1161,1668.28,1946.82,1167
H?i Phòng,1523.4,1886.2,1238.15,1523.9,1912.94,1255.29,1527.4,1932.17,1265.01,1527.4,1950.71,1277.14,1527.4,1969.5,1289.45,1561.7,1985.3,1271.24,1561.8,2001.4,1281.47,1561.8,2016.4,1291.07,1561.8,2033.3,1302,1526.51,2053.49,1345,1526.52,2072.39,1358,1526.52,2088.02,1368
Hung Yên,926,1150.74,1242.7,926,1162.91,1255.84,926,1175.52,1269.46,926,1188.65,1283.64,926,1202,1298.06,930.3,1215.5,1306.57,930.2,1228.8,1321.01,930.2,1242.4,1335.63,930.2,1255.8,1350,930.2,1269.09,1364,930.2,1284.55,1381,930.2,1290.85,1388
Thái Bình,1570,1798.66,1145.65,1570,1806.48,1150.63,1570.5,1815.04,1155.71,1570.8,1822.43,1160.19,1570.8,1830.3,1165.2,1586.5,1838.1,1158.59,1586.3,1846.1,1163.78,1586.4,1854.1,1168.75,1586.4,1862.2,1174,1584.6,1870.24,1180,1584.61,1875.66,1184,1584.61,1878.54,1185
