code,name,area,population,density
1,Ha Noi,3358.6,8093.9,2410
26,Vinh Phuc,1235.9,1154.8,934
27,Bac Ninh,822.7,1378.6,1676
22,Quang Ninh,6178.2,1324.8,214
30,Hai Duong,1668.2,1896.9,1137
31,Hai Phong,1561.8,2033.3,1302
33,Hung Yen,930.2,1255.8,1350
34,Thai Binh,1586.4,1862.2,1174
35,Ha Nam,861.9,854.5,991
36,Nam Dinh,1668.6,1780.9,1067
37,Ninh Binh,1386.8,984.5,710
2,Ha Giang,7929.5,858.1,108
4,Cao Bang,6700.3,530.9,79
6,Bac Kan,4860,314.4,65
8,Tuyen Quang,5867.9,786.3,134
10,Lao Cai,6364,733.3,115
15,Yen Bai,6887.5,823,119
19,Thai Nguyen,3526.6,1290.9,366
20,Lang Son,8310.1,782.8,94
24,Bac Giang,3895.6,1810.4,465
25,Phu Tho,3534.6,1466.4,415
11,Dien Bien,9541.3,601.7,63
12,Lai Chau,9068.8,462.6,51
14,Son La,14123.5,1252.7,89
17,Hoa Binh,4590.6,855.8,186
38,Thanh Hoa,11114.6,3645.8,328
40,Nghe An,16481.4,3337.2,202
42,Ha Tinh,5990.7,1290.3,215
44,Quang Binh,8000,896.6,112
45,Quang Tri,4621.7,633.4,137
46,Thua Thien Hue,4902.4,1129.5,230
48,Da Nang,1284.9,1141.1,888
49,Quang Nam,10574.7,1497.5,142
51,Quang Ngai,5155.8,1231.9,239
52,Binh Dinh,6066.2,1487.8,245
54,Phu Yen,5023.4,873.2,174
56,Khanh Hoa,5137.8,1232.8,240
58,Ninh Thuan,3355.3,591,176
60,Binh Thuan,7943.9,1232.3,155
62,Kon Tum,9674.2,543.4,56
64,Gia Lai,15511,1520.2,98
66,Dak Lak,13030.5,1872.6,144
67,Dak Nong,6509.3,625.8,96
68,Lam Dong,9783.3,1299.3,133
70,Binh Phuoc,6876.8,997.8,145
72,Tay Ninh,4041.3,1171.7,290
74,Binh Duong,2694.6,2456.3,912
75,Dong Nai,5863.6,3113.7,531
77,Ba Ria - Vung Tau,1981,1152.2,582
79,Ho Chi Minh,2061.4,9038.6,4385
80,Long An,4494.9,1695.1,377
82,Tien Giang,2510.6,1766.3,704
83,Ben Tre,2394.8,1289.1,538
84,Tra Vinh,2358.3,1009.3,428
86,Vinh Long,1525.7,1022.6,670
87,Dong Thap,3383.8,1598.8,472
89,An Giang,3536.7,1907.4,539
91,Kien Giang,6348.8,1723.7,272
92,Can Tho,1439,1236,859
93,Hau Giang,1621.7,732.2,451
94,Soc Trang,3311.9,1199.5,362
95,Bac Lieu,2669,908.2,340
96,Ca Mau,5221.2,1194.3,229
